vehicle,file,start_time,end_time,duration_hours,driving_minutes,odometer_start,soc_start,soc_end,soc_used,distance_km,avg_speed,max_speed,pct_ac_on,avg_accel_xy,max_accel_xy,avg_altitude,altitude_range,implied_range_km
DL52GD9513,tataraw-DL52GD9513-gps-2026-07-08-to-2026-08-07.csv,2026-07-15 11:15:02,2026-07-15 16:05:02,4.833333333333333,245,4219.0,62.0,23.0,39.0,52.0,12.387755102040817,44.0,100.0,0.47877007817977785,3.12,203.75510204081633,28.0,133.33333333333331
DL52GD9513,tataraw-DL52GD9513-gps-2026-07-08-to-2026-08-07.csv,2026-07-16 11:10:01,2026-07-16 18:45:01,7.583333333333333,325,4418.0,71.0,4.0,67.0,121.0,24.446153846153845,73.0,100.0,0.694230602994634,3.42,229.24615384615385,107.0,180.59701492537314
DL52GD9513,tataraw-DL52GD9513-gps-2026-07-08-to-2026-08-07.csv,2026-07-17 12:05:01,2026-07-17 17:45:01,5.666666666666667,150,4705.0,74.0,40.0,34.0,58.0,21.5,77.0,100.0,0.6901831794801842,3.1202083263782243,207.7,24.0,170.58823529411765
DL52GD9513,tataraw-DL52GD9513-gps-2026-07-08-to-2026-08-07.csv,2026-07-18 11:15:01,2026-07-18 16:50:01,5.583333333333333,260,4941.0,79.0,29.0,50.0,82.0,16.846153846153847,75.0,100.0,0.6611786760832233,5.905285767852392,208.90384615384616,42.0,164.0
DL52GD9513,tataraw-DL52GD9513-gps-2026-07-08-to-2026-08-07.csv,2026-07-19 08:10:01,2026-07-19 10:20:01,2.1666666666666665,30,5181.0,18.0,7.0,11.0,12.0,26.333333333333332,55.0,100.0,0.34253072900381887,0.9569221493935649,186.83333333333334,7.0,109.09090909090908
DL52GD9513,tataraw-DL52GD9513-gps-2026-07-08-to-2026-08-07.csv,2026-07-19 11:50:01,2026-07-19 16:55:01,5.083333333333333,265,5193.0,91.0,34.0,57.0,87.0,19.830188679245282,77.0,100.0,0.7620267059362482,6.13401173784335,206.9056603773585,51.0,152.63157894736844
DL52GD9513,tataraw-DL52GD9513-gps-2026-07-08-to-2026-08-07.csv,2026-07-25 21:35:01,2026-07-26 03:15:01,5.666666666666667,195,5839.0,79.0,39.0,40.0,113.0,32.51282051282051,69.0,100.0,0.5452248260092561,2.29,202.48717948717947,56.0,282.5
DL52GD9513,tataraw-DL52GD9513-gps-2026-07-08-to-2026-08-07.csv,2026-08-01 09:55:01,2026-08-01 17:20:00,7.416388888888889,305,7367.0,90.0,45.0,45.0,102.0,18.737704918032787,58.0,100.0,0.5270777839029345,2.97,216.18032786885246,58.0,226.66666666666666
DL52GD9513,tataraw-DL52GD9513-gps-2026-07-08-to-2026-08-07.csv,2026-08-02 01:25:00,2026-08-02 05:35:00,4.166666666666667,245,7479.0,62.0,28.0,34.0,85.0,19.285714285714285,71.0,100.0,0.48067385039138577,2.13,225.42857142857142,81.0,250.0
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-12 12:35:00,2026-07-12 18:10:01,5.583611111111111,180,3416.0,71.0,43.0,28.0,50.0,18.833333333333332,51.0,100.0,0.3088916769122592,1.413258645825314,203.11111111111111,20.0,178.57142857142858
