vehicle,n_epochs,observed_median_range_km,predicted_range_km
DL52GD9580,18,206.4,235.7
DL52GD9519,19,225.5,232.4
DL52GD9532,17,234.1,230.9
DL52GD9514,21,230.0,227.0
DL52GD9543,19,223.4,218.9
DL52GD9509,14,202.1,215.8
DL52GD9590,20,211.1,206.6
DL52GD9565,25,193.1,202.4
DL52GD9513,13,178.2,180.8
DL52GD9566,21,174.1,167.6
