vehicleNumber,telematicDeviceType
KA01AP3600,NO_DEVICE
KA01AQ2731,Intellicar
KA51AK0329,Intellicar
KA51AK0325,Citroen
KA51AK0324,Intellicar
KA51AJ9391,Intellicar
KA51AJ9395,Intellicar
KA51AJ9398,Intellicar
KA51AJ9396,Intellicar
KA51AJ9397,Intellicar
KA01AR0374,Intellicar
KA01AR0373,Intellicar
KA01AR0371,Intellicar
KA01AR0367,Intellicar
KA01AR0372,Intellicar
KA01AR0375,Intellicar
KA01AR0368,Intellicar
KA51AJ9400,Intellicar
KA01AR0369,Intellicar
KA01AR0376,Intellicar
KA51AJ9394,Intellicar
KA51AJ9401,Intellicar
KA51AJ9390,Intellicar
KA51AJ9392,Intellicar
KA51AK0326,Intellicar
KA03AK3338,Intellicar
KA03AL8100,Intellicar
KA03AL8097,Intellicar
KA03AL8076,Intellicar
KA03AL8096,Intellicar
KA03AL8094,Intellicar
KA03AL8095,Intellicar
KA03AL8099,Intellicar
KA03AL8093,Intellicar
KA03AL8074,Intellicar
KA03AL8082,Intellicar
KA03AL8080,Intellicar
KA03AL8075,Intellicar
KA03AL8078,Intellicar
KA03AL8081,Intellicar
KA03AL8079,Intellicar
KA03AL8077,Intellicar
KA51AK0327,Intellicar
KA51AK0328,Intellicar
KA51AK0323,Intellicar
KA51AK2621,Intellicar
KA51AK2618,Intellicar
KA51AK3347,NO_DEVICE
KA51AK2620,Intellicar
KA01AR0370,Intellicar
KA01AQ2730,Intellicar
KA51AK0322,Intellicar
KA03AL8101,Intellicar
KA03AL8098,Intellicar
KA51AK3378,Intellicar
KA04AE2200,Citroen
KA04AE2196,Citroen
KA04AE2199,Citroen
KA04AE2195,Citroen
KA51AK4743,Intellicar
KA51AK3353,Intellicar
KA51AK4741,Intellicar
KA51AK3449,Intellicar
KA51AK3451,Intellicar
KA51AK3452,Intellicar
KA51AK3453,Intellicar
KA51AK3352,Intellicar
KA51AK3351,Intellicar
KA51AK3349,Intellicar
KA51AK3354,Intellicar
KA51AK3348,Intellicar
KA51AK4746,Intellicar
KA51AK4740,Intellicar
KA51AK3346,Intellicar
KA51AK4745,Intellicar
KA51AK3350,Intellicar
HR55AT9673,Citroen
HR55AT9425,Citroen
HR55AT8975,Citroen
HR55AT7734,Citroen
HR55AT7465,Citroen
HR55AT7017,Citroen
HR55AT5490,NO_DEVICE
HR55AT4961,Citroen
HR55AT4466,Citroen
HR55AT4126,Citroen
HR55AT3749,Citroen
HR55АТ2721,NO_DEVICE
HR55AT2337,Citroen
HR55AT0968,Citroen
HR55AT0296,Citroen
KA51AK7503,Citroen
KA51AK7504,Citroen
KA51AK7501,Citroen
KA51AK7502,Citroen
KA51AK7500,Citroen
KA51AK7498,Citroen
KA51AK7496,Citroen
KA51AK7497,Citroen
KA51AK7494,Citroen
KA51AK7495,Citroen
KA03AK3356,Intellicar
KA03AK3342,Intellicar
KA03AK3341,Intellicar
KA03AK3343,Intellicar
KA03AK3335,Intellicar
KA03AK3332,Intellicar
KA03AK3340,Intellicar
KA03AK3348,Intellicar
KA03AK3347,Intellicar
KA03AK3353,Intellicar
KA05AQ4782,Intellicar
KA05AQ4860,Intellicar
KA05AQ4842,Intellicar
KA05AQ4867,Intellicar
KA05AQ4785,Intellicar
KA05AQ4783,Intellicar
KA05AQ4848,Intellicar
KA05AQ4850,Intellicar
KA05AQ4781,Intellicar
KA05AQ4863,Intellicar
KA05AQ4846,Intellicar
KA05AQ4859,Intellicar
KA05AQ4865,Intellicar
KA05AQ4849,Intellicar
KA05AQ4784,Intellicar
KA51AL2098,Citroen
KA51AL2095,Citroen
KA51AL2061,Intellicar
KA51AL2059,Intellicar
KA51AL2062,Intellicar
KA51AL2060,Intellicar
KA51AL2058,Intellicar
KA51AL2096,Citroen
KA51AL2097,Citroen
KA03AN4698,Intellicar
KA03AN4699,Intellicar
KA03AN4700,Intellicar
KA51AL0301,Intellicar
KA51AL0300,Intellicar
KA51AL0299,Intellicar
KA51AL0298,Intellicar
KA51AL0297,Intellicar
KA51AK8103,Citroen
KA03AN1959,Intellicar
KA51AK8102,Citroen
KA51AK8101,Citroen
KA51AK7781,Citroen
KA51AK7780,Citroen
KA03AN1961,Intellicar
KA03AN1960,Intellicar
KA03AN1958,Intellicar
KA03AN1957,Intellicar
KA03AN1956,Intellicar
KA51AK8105,Citroen
KA51AL0287,Intellicar
KA51AL0286,Intellicar
KA51AL0285,Intellicar
KA51AK8104,Citroen
KA51AL0284,Intellicar
KA51AL0283,Intellicar
KA51AK8108,Citroen
KA51AK8107,Citroen
KA51AK8106,Citroen
KA03AN1934,Intellicar
KA03AN1935,Intellicar
KA03AN1936,Intellicar
KA03AN1937,Intellicar
KA03AN1938,Intellicar
KA03AN1939,Intellicar
KA03AN1940,Intellicar
KA03AN1941,Intellicar
KA03AN1942,Intellicar
KA03AN1943,Intellicar
KA03AN1944,Intellicar
KA03AN1945,Intellicar
KA03AN1946,Intellicar
KA03AN1947,Intellicar
KA03AN1948,Intellicar
KA03AN1949,Intellicar
KA03AN1950,Intellicar
KA03AN1951,Intellicar
KA03AN1952,Intellicar
KA03AN1953,Intellicar
KA03AN1954,Intellicar
KA03AN1955,Intellicar
KA03AN1933,Intellicar
